租金,room_size,室,卫,厅,天然气,空调,独卫,飘窗,阳台,district_name,price_y,最近地铁距离,1500内地铁口,最近公交站距离,500内公交站数量,最近银行距离,1000内银行数量,最近影院距离,1000内影院数量,最近餐饮距离,700内餐饮数量,500内超市数量,1000内公园数量,最近菜市场距离,1000内菜市场数量
1005,15,5,2,1,0,0,0,0,1,高新区,20993,703.9802984,高新 火车南站,245.4982361,5,642.5466796,1,641.673707,1,132.9457091,20,9,18,1150.27795,1
750,11,5,2,1,0,0,0,0,1,高新区,20993,703.9802984,高新 火车南站,245.4982361,5,642.5466796,1,641.673707,1,132.9457091,20,9,18,1150.27795,1
800,18,5,2,1,0,0,0,0,1,高新区,20993,703.9802984,高新 火车南站,245.4982361,5,642.5466796,1,641.673707,1,132.9457091,20,9,18,1150.27795,1
550,8,5,2,1,0,0,0,0,0,高新区,20993,703.9802984,高新 火车南站,245.4982361,5,642.5466796,1,641.673707,1,132.9457091,20,9,18,1150.27795,1
955,17,5,2,1,0,0,0,0,1,高新区,20993,703.9802984,高新 火车南站,245.4982361,5,642.5466796,1,641.673707,1,132.9457091,20,9,18,1150.27795,1
1400,40,5,2,1,0,1,1,0,1,高新区,20993,703.9802984,高新 火车南站,245.4982361,5,642.5466796,1,641.673707,1,132.9457091,20,9,18,1150.27795,1
900,20,5,2,1,0,0,0,0,1,高新区,20993,703.9802984,高新 火车南站,245.4982361,5,642.5466796,1,641.673707,1,132.9457091,20,9,18,1150.27795,1
790,12,5,2,1,0,0,0,1,0,高新区,20993,703.9802984,高新 火车南站,245.4982361,5,642.5466796,1,641.673707,1,132.9457091,20,9,18,1150.27795,1
500,9,3,1,1,0,0,0,0,0,金牛区,16167,443.2242269,茶店子客运站 迎宾大道 羊犀立交,161.7087711,4,988.8353105,1,2215.352565,1,69.83450834,20,9,20,334.6546979,3
745,11,3,1,1,0,1,0,0,0,金牛区,16167,443.2242269,茶店子客运站 迎宾大道 羊犀立交,161.7087711,4,988.8353105,1,2215.352565,1,69.83450834,20,9,20,334.6546979,3
695,11,3,1,1,0,1,0,0,0,金牛区,16167,443.2242269,茶店子客运站 迎宾大道 羊犀立交,161.7087711,4,988.8353105,1,2215.352565,1,69.83450834,20,9,20,334.6546979,3
1500,40,3,1,1,0,0,0,0,1,青羊区,17907,956.8160109,成都西站 清江西路,344.8958203,3,1360.245673,1,1052.002624,1,27.04471674,20,6,14,898.2794434,1
1500,17,3,1,1,0,0,0,0,0,青羊区,17907,956.8160109,成都西站 清江西路,344.8958203,3,1360.245673,1,1052.002624,1,27.04471674,20,6,14,898.2794434,1
1500,14,3,1,1,0,0,0,0,0,青羊区,17907,956.8160109,成都西站 清江西路,344.8958203,3,1360.245673,1,1052.002624,1,27.04471674,20,6,14,898.2794434,1
1750,30,1,1,11,1,0,1,1,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
680,9,4,1,1,0,0,0,1,0,锦江区,21972,1154.757567,东大路 神州租车(牛市口地铁站送车点) 牛市口,197.5167512,5,994.2610349,1,934.8895603,1,56.27793541,20,15,20,489.6375662,3
650,8,4,1,1,0,0,0,1,0,锦江区,21972,1154.757567,东大路 神州租车(牛市口地铁站送车点) 牛市口,197.5167512,5,994.2610349,1,934.8895603,1,56.27793541,20,15,20,489.6375662,3
600,10,4,1,1,0,0,0,0,0,锦江区,21972,1154.757567,东大路 神州租车(牛市口地铁站送车点) 牛市口,197.5167512,5,994.2610349,1,934.8895603,1,56.27793541,20,15,20,489.6375662,3
900,15,4,1,1,0,0,0,0,1,锦江区,21972,1154.757567,东大路 神州租车(牛市口地铁站送车点) 牛市口,197.5167512,5,994.2610349,1,934.8895603,1,56.27793541,20,15,20,489.6375662,3
1750,30,1,1,1,1,0,1,1,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
1700,30,1,1,1,0,0,0,0,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
1650,30,1,1,1,1,0,1,1,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
1900,30,1,1,1,0,0,0,0,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
1900,30,1,1,1,0,0,0,0,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
730,22,4,2,1,0,0,0,0,1,锦江区,17541,814.7711238,成渝立交 成都东客站 迎晖路,57.16712283,5,2559.151915,1,76.42540677,1,32.75774568,20,8,13,469.1319086,3
655,11,4,2,1,0,0,0,0,0,锦江区,17541,814.7711238,成渝立交 成都东客站 迎晖路,57.16712283,5,2559.151915,1,76.42540677,1,32.75774568,20,8,13,469.1319086,3
655,14,4,2,1,0,0,0,1,0,锦江区,17541,814.7711238,成渝立交 成都东客站 迎晖路,57.16712283,5,2559.151915,1,76.42540677,1,32.75774568,20,8,13,469.1319086,3
1000,22,4,2,1,0,0,1,1,0,锦江区,17541,814.7711238,成渝立交 成都东客站 迎晖路,57.16712283,5,2559.151915,1,76.42540677,1,32.75774568,20,8,13,469.1319086,3
720,8,5,2,1,0,0,0,1,0,高新区,20438,719.8818265,高新 火车南站 三瓦窑 金融城,148.6488255,5,625.691878,2,1217.808479,1,43.26714575,20,5,20,39.91065877,3
890,18,5,2,1,0,1,0,0,1,高新区,20438,719.8818265,高新 火车南站 三瓦窑 金融城,148.6488255,5,625.691878,2,1217.808479,1,43.26714575,20,5,20,39.91065877,3
1320,23,5,2,1,0,1,1,1,0,高新区,20438,719.8818265,高新 火车南站 三瓦窑 金融城,148.6488255,5,625.691878,2,1217.808479,1,43.26714575,20,5,20,39.91065877,3
780,15,5,2,1,0,0,0,0,1,高新区,20438,719.8818265,高新 火车南站 三瓦窑 金融城,148.6488255,5,625.691878,2,1217.808479,1,43.26714575,20,5,20,39.91065877,3
750,17,5,2,1,0,0,0,0,1,高新区,20438,719.8818265,高新 火车南站 三瓦窑 金融城,148.6488255,5,625.691878,2,1217.808479,1,43.26714575,20,5,20,39.91065877,3
1700,30,1,1,1,1,0,1,1,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
1900,30,1,1,1,0,0,0,0,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
1900,30,1,1,1,0,0,0,0,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
1900,30,1,1,1,0,0,0,0,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
1500,9,6,2,1,0,0,0,0,0,青羊区,22954,880.8356108,清江西路 成都西站,156.4377927,5,1304.284924,1,959.708813,1,26.84297556,19,3,17,1048.160052,1
1500,7,6,2,1,0,0,0,0,0,青羊区,22954,880.8356108,清江西路 成都西站,156.4377927,5,1304.284924,1,959.708813,1,26.84297556,19,3,17,1048.160052,1
880,20,5,2,1,0,1,0,0,1,高新区,22372,593.3356306,高新 金融城,191.1932523,5,857.4919452,1,1609.996363,1,298.2275601,20,4,20,327.5450287,1
845,9,5,2,1,0,1,0,1,0,高新区,22372,593.3356306,高新 金融城,191.1932523,5,857.4919452,1,1609.996363,1,298.2275601,20,4,20,327.5450287,1
1205,15,5,2,1,0,1,1,0,1,高新区,22372,593.3356306,高新 金融城,191.1932523,5,857.4919452,1,1609.996363,1,298.2275601,20,4,20,327.5450287,1
499,15,5,2,1,0,0,0,0,1,高新区,22372,593.3356306,高新 金融城,191.1932523,5,857.4919452,1,1609.996363,1,298.2275601,20,4,20,327.5450287,1
780,9,5,2,1,0,0,0,1,0,高新区,22372,593.3356306,高新 金融城,191.1932523,5,857.4919452,1,1609.996363,1,298.2275601,20,4,20,327.5450287,1
682,22,4,2,1,0,1,0,0,1,青羊区,23292,1724.037317,清江西路,67.86887132,5,494.1398629,4,639.8470254,1,145.6169155,20,13,17,192.318804,3
1035,22,4,2,1,0,0,1,1,0,青羊区,23292,1724.037317,清江西路,67.86887132,5,494.1398629,4,639.8470254,1,145.6169155,20,13,17,192.318804,3
725,13,4,2,1,0,0,0,0,0,青羊区,23292,1724.037317,清江西路,67.86887132,5,494.1398629,4,639.8470254,1,145.6169155,20,13,17,192.318804,3
820,17,4,1,1,0,0,0,0,1,成华区,21190,899.8791419,前锋路 李家沱,289.9251975,5,686.2362975,1,715.4253411,1,32.52680239,20,14,20,308.6252337,3
855,13,4,1,1,0,0,0,1,0,成华区,21190,899.8791419,前锋路 李家沱,289.9251975,5,686.2362975,1,715.4253411,1,32.52680239,20,14,20,308.6252337,3
840,15,4,1,1,0,0,0,1,0,成华区,21190,899.8791419,前锋路 李家沱,289.9251975,5,686.2362975,1,715.4253411,1,32.52680239,20,14,20,308.6252337,3
557,8,4,1,1,0,0,0,0,0,成华区,21190,899.8791419,前锋路 李家沱,289.9251975,5,686.2362975,1,715.4253411,1,32.52680239,20,14,20,308.6252337,3
825,8,4,1,1,0,0,0,1,0,锦江区,19596,1815.524965,琉璃场,40.90858564,5,925.004883,1,526.874234,1,61.76786822,20,13,20,229.1484611,3
855,9,4,1,1,0,0,0,0,0,锦江区,19596,1815.524965,琉璃场,40.90858564,5,925.004883,1,526.874234,1,61.76786822,20,13,20,229.1484611,3
820,14,4,1,1,0,0,0,1,0,锦江区,19596,1815.524965,琉璃场,40.90858564,5,925.004883,1,526.874234,1,61.76786822,20,13,20,229.1484611,3
1005,15,4,1,1,0,0,0,0,1,锦江区,19596,1815.524965,琉璃场,40.90858564,5,925.004883,1,526.874234,1,61.76786822,20,13,20,229.1484611,3
1130,19,3,3,2,0,0,1,1,0,高新区,13346,1072.546283,四河 广都 华府大道,220.0314204,2,1797.155272,1,1840.09297,1,213.8279578,20,6,3,443.7338496,2
1200,38,3,3,2,0,0,1,0,1,高新区,13346,1072.546283,四河 广都 华府大道,220.0314204,2,1797.155272,1,1840.09297,1,213.8279578,20,6,3,443.7338496,2
950,16,3,3,2,0,0,1,1,0,高新区,13346,1072.546283,四河 广都 华府大道,220.0314204,2,1797.155272,1,1840.09297,1,213.8279578,20,6,3,443.7338496,2
840,18,4,2,1,0,1,0,0,1,青羊区,23292,1724.037317,清江西路,67.86887132,5,494.1398629,4,639.8470254,1,145.6169155,20,13,17,192.318804,3
790,21,3,2,1,0,0,0,0,1,青羊区,24229,488.6900941,文化宫 清江西路 金沙博物馆,108.0660991,5,1151.993737,1,586.4671573,2,153.0398658,20,15,20,312.7621872,3
790,15,3,2,1,0,1,0,0,0,青羊区,24229,488.6900941,文化宫 清江西路 金沙博物馆,108.0660991,5,1151.993737,1,586.4671573,2,153.0398658,20,15,20,312.7621872,3
745,12,3,2,1,0,0,0,0,0,青羊区,24229,488.6900941,文化宫 清江西路 金沙博物馆,108.0660991,5,1151.993737,1,586.4671573,2,153.0398658,20,15,20,312.7621872,3
1155,25,3,2,1,0,0,1,0,0,青羊区,24229,488.6900941,文化宫 清江西路 金沙博物馆,108.0660991,5,1151.993737,1,586.4671573,2,153.0398658,20,15,20,312.7621872,3
755,14,3,2,1,0,0,0,1,0,青羊区,24229,488.6900941,文化宫 清江西路 金沙博物馆,108.0660991,5,1151.993737,1,586.4671573,2,153.0398658,20,15,20,312.7621872,3
1500,10,6,2,1,0,0,0,0,0,青羊区,22954,880.8356108,清江西路 成都西站,156.4377927,5,1304.284924,1,959.708813,1,26.84297556,19,3,17,1048.160052,1
1500,9,6,2,1,0,0,0,1,0,青羊区,22954,880.8356108,清江西路 成都西站,156.4377927,5,1304.284924,1,959.708813,1,26.84297556,19,3,17,1048.160052,1
1500,12,6,2,1,0,0,1,1,0,青羊区,22954,880.8356108,清江西路 成都西站,156.4377927,5,1304.284924,1,959.708813,1,26.84297556,19,3,17,1048.160052,1
1500,9,6,2,1,0,0,0,0,0,青羊区,22954,880.8356108,清江西路 成都西站,156.4377927,5,1304.284924,1,959.708813,1,26.84297556,19,3,17,1048.160052,1
850,11,4,1,1,0,1,0,1,0,成华区,21607,449.1574749,玉双路 双桥路 牛王庙,246.6013801,5,588.1239119,1,1023.308574,1,76.18492538,20,15,20,267.1020695,3
705,9,4,1,1,0,0,0,0,0,成华区,21607,449.1574749,玉双路 双桥路 牛王庙,246.6013801,5,588.1239119,1,1023.308574,1,76.18492538,20,15,20,267.1020695,3
1000,17,4,1,1,0,0,0,0,1,成华区,21607,449.1574749,玉双路 双桥路 牛王庙,246.6013801,5,588.1239119,1,1023.308574,1,76.18492538,20,15,20,267.1020695,3
1055,11,4,1,1,0,0,0,1,0,成华区,21607,449.1574749,玉双路 双桥路 牛王庙,246.6013801,5,588.1239119,1,1023.308574,1,76.18492538,20,15,20,267.1020695,3
775,13,4,1,1,0,0,0,0,1,成华区,21607,449.1574749,玉双路 双桥路 牛王庙,246.6013801,5,588.1239119,1,1023.308574,1,76.18492538,20,15,20,267.1020695,3
,58,1,1,1,0,0,0,0,0,高新区,22933,1211.361486,世纪城,146.9495971,3,919.7954729,2,1367.448297,1,51.86612728,20,8,19,1474.801652,1
900,10,4,3,2,0,0,0,0,0,青羊区,,900.7177467,成都西站 中坝,305.5343104,5,699.66852,1,124.9611144,1,70.47144842,20,5,2,1325.161843,1
1300,18,4,3,2,0,0,0,0,0,青羊区,,900.7177467,成都西站 中坝,305.5343104,5,699.66852,1,124.9611144,1,70.47144842,20,5,2,1325.161843,1
1000,10,4,3,2,0,0,0,0,0,青羊区,,900.7177467,成都西站 中坝,305.5343104,5,699.66852,1,124.9611144,1,70.47144842,20,5,2,1325.161843,1
1100,18,4,3,2,0,0,1,0,0,青羊区,,900.7177467,成都西站 中坝,305.5343104,5,699.66852,1,124.9611144,1,70.47144842,20,5,2,1325.161843,1
1000,18,4,1,0,0,1,0,0,1,高新区,22372,593.3356306,高新 金融城,191.1932523,5,857.4919452,1,1609.996363,1,298.2275601,20,4,20,327.5450287,1
705,13,5,3,1,0,0,0,1,0,高新区,19930,3001.352333,世纪城,139.964035,5,728.7462044,1,254.6025922,3,22.65290211,20,15,20,143.5042231,3
590,7,5,3,1,0,0,0,0,0,高新区,19930,3001.352333,世纪城,139.964035,5,728.7462044,1,254.6025922,3,22.65290211,20,15,20,143.5042231,3
1105,25,5,3,1,0,1,1,0,0,高新区,19930,3001.352333,世纪城,139.964035,5,728.7462044,1,254.6025922,3,22.65290211,20,15,20,143.5042231,3
795,14,5,3,1,0,0,0,1,0,高新区,19930,3001.352333,世纪城,139.964035,5,728.7462044,1,254.6025922,3,22.65290211,20,15,20,143.5042231,3
755,13,5,3,1,0,1,0,0,1,高新区,19930,3001.352333,世纪城,139.964035,5,728.7462044,1,254.6025922,3,22.65290211,20,15,20,143.5042231,3
850,15,4,1,1,0,0,0,1,0,成华区,21190,899.8791419,前锋路 李家沱,289.9251975,5,686.2362975,1,715.4253411,1,32.52680239,20,14,20,308.6252337,3
1025,13,4,1,1,0,0,0,1,0,成华区,21190,899.8791419,前锋路 李家沱,289.9251975,5,686.2362975,1,715.4253411,1,32.52680239,20,14,20,308.6252337,3
705,8,4,1,1,0,0,0,0,0,成华区,21190,899.8791419,前锋路 李家沱,289.9251975,5,686.2362975,1,715.4253411,1,32.52680239,20,14,20,308.6252337,3
945,10,4,1,0,0,1,0,0,0,高新区,22372,593.3356306,高新 金融城,191.1932523,5,857.4919452,1,1609.996363,1,298.2275601,20,4,20,327.5450287,1
1255,15,4,1,0,0,0,1,1,0,高新区,22372,593.3356306,高新 金融城,191.1932523,5,857.4919452,1,1609.996363,1,298.2275601,20,4,20,327.5450287,1
700,9,4,1,0,0,0,0,1,0,高新区,22372,593.3356306,高新 金融城,191.1932523,5,857.4919452,1,1609.996363,1,298.2275601,20,4,20,327.5450287,1
780,11,4,1,1,0,0,0,0,0,成华区,21607,449.1574749,玉双路 双桥路 牛王庙,246.6013801,5,588.1239119,1,1023.308574,1,76.18492538,20,15,20,267.1020695,3
1000,18,4,1,1,0,0,0,0,1,成华区,21607,449.1574749,玉双路 双桥路 牛王庙,246.6013801,5,588.1239119,1,1023.308574,1,76.18492538,20,15,20,267.1020695,3
1055,14,4,1,1,0,1,0,1,0,成华区,21607,449.1574749,玉双路 双桥路 牛王庙,246.6013801,5,588.1239119,1,1023.308574,1,76.18492538,20,15,20,267.1020695,3
745,13,3,1,1,0,0,0,1,0,高新区,18577,2271.425586,天府三街,136.4359297,4,1538.509701,1,693.7904353,2,148.8766725,20,12,7,553.9475747,1
850,15,3,1,1,0,0,0,0,1,高新区,18577,2271.425586,天府三街,136.4359297,4,1538.509701,1,693.7904353,2,148.8766725,20,12,7,553.9475747,1
650,10,3,1,1,0,1,0,1,0,高新区,18577,2271.425586,天府三街,136.4359297,4,1538.509701,1,693.7904353,2,148.8766725,20,12,7,553.9475747,1
790,15,5,2,2,0,1,0,1,0,高新区,,587.0988186,华府大道 四河 广都,223.4701751,2,1211.442387,1,1399.630952,1,113.0812941,20,4,5,150.554199,2
790,15,5,2,2,0,1,0,1,0,武侯区,11678,597.7003933,红牌楼 太平园 高朋大道,137.4592787,5,726.7989713,2,467.6213773,2,35.65969865,20,15,20,507.2673213,3
590,7,5,2,2,0,0,0,0,0,高新区,,587.0988186,华府大道 四河 广都,223.4701751,2,1211.442387,1,1399.630952,1,113.0812941,20,4,5,150.554199,2
590,7,5,2,2,0,0,0,0,0,武侯区,11678,597.7003933,红牌楼 太平园 高朋大道,137.4592787,5,726.7989713,2,467.6213773,2,35.65969865,20,15,20,507.2673213,3
1005,22,5,2,2,0,1,1,1,0,高新区,,587.0988186,华府大道 四河 广都,223.4701751,2,1211.442387,1,1399.630952,1,113.0812941,20,4,5,150.554199,2
